target_id,target_len
BACT000001_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_1,1683
BACT000001_Streptococcus-35_agalactiae-35_Streptococcus-agalactiae-35_2,1203
BACT000001_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_3,1155
BACT000001_Leptospira-36_NotDefined-36_Leptospira-NotDefined-36_4,1683
BACT000001_Leptospira-65_NotDefined-65_Leptospira-NotDefined-65_5,1683
BACT000001_Nocardia-1_asteroides-1_Nocardia-asteroides-1_6,1470
BACT000001_Streptococcus-1_agalactiae-1_Streptococcus-agalactiae-1_7,1209
BACT000001_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_8,1683
BACT000001_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_9,1155
BACT000001_Leptospira-1_NotDefined-1_Leptospira-NotDefined-1_10,1155
BACT000001_Chlamydia-1_psittaci-1_Chlamydia-psittaci-1_11,1749
BACT000001_Streptococcus-491_pneumoniae-411|mitis-44|oralis-26|pseudopneumoniae-10_Streptococcus-pneumoniae-411|Streptococcus-mitis-44|Streptococcus-oralis-26|Streptococcus-pseudopneumoniae-10_12,1203
BACT000001_Leptospira-3_NotDefined-3_Leptospira-NotDefined-3_13,1683
BACT000001_Chlamydophila-2_pneumoniae-2_Chlamydophila-pneumoniae-2_14,1743
BACT000001_Bordetella-3_pertussis-3_Bordetella-pertussis-3_15,1716
BACT000001_Pseudomonas-170_aeruginosa-170_Pseudomonas-aeruginosa-170_16,1680
BACT000001_Moraxella-10_catarrhalis-10_Moraxella-catarrhalis-10_17,1674
BACT000001_Bartonella-1_henselae-1_Bartonella-henselae-1_18,1701
BACT000001_Neisseria-184_meningitidis-184_Neisseria-meningitidis-184_19,1686
BACT000001_Haemophilus-56_influenzae-52|parainfluenzae-4_Haemophilus-influenzae-52|Haemophilus-parainfluenzae-4_20,1650
BACT000001_Stenotrophomonas-19_maltophilia-19_Stenotrophomonas-maltophilia-19_21,1686
BACT000001_Coxiella-4_burnetii-4_Coxiella-burnetii-4_22,1656
BACT000001_Legionella-20_pneumophila-20_Legionella-pneumophila-20_23,1677
BACT000001_Listeria-46_monocytogenes-46_Listeria-monocytogenes-46_24,1146
BACT000001_Borrelia-10_burgdorferi-10_Borrelia-burgdorferi-10_25,1656
BACT000001_Treponema-1_pallidum-1_Treponema-pallidum-1_26,1710
BACT000001_Leptospira-2_NotDefined-2_Leptospira-NotDefined-2_27,1683
BACT000001_Streptococcus-70_pyogenes-70_Streptococcus-pyogenes-70_28,1206
